mp,timeStamp,mean,skew
29.93,1660221606227,7260.485892819549,-7230.555892819549
29.95,1660221609189,7773.95383611386,-7744.00383611386
29.96,1660221612639,7916.795100289861,-7886.835100289861
29.96,1660221615271,7969.236128093889,-7939.276128093889
29.97,1660221618232,7974.000153379795,-7944.030153379795
29.99,1660221621333,7828.62539872444,-7798.63539872444
30,1660221624315,7828.105283109246,-7798.105283109246
30,1660221627222,7777.479274886288,-7747.479274886288
30,1660221630389,7772.319545006555,-7742.319545006555
29.99,1660221633413,7564.015811066528,-7534.025811066528
30.01,1660221636375,7476.364316750158,-7446.3543167501575
30,1660221639386,7222.779550029813,-7192.779550029813
29.99,1660221642548,6960.597856922747,-6930.6078569227475
29.97,1660221645369,6786.257191350087,-6756.287191350087
30,1660221648391,6641.073558909111,-6611.073558909111
30,1660221651699,6477.596846069012,-6447.596846069012
29.98,1660221654505,6336.270779464811,-6306.290779464812
29.99,1660221657600,6189.309124387762,-6159.319124387762
29.99,1660221660538,6054.728011326236,-6024.738011326236
29.94,1660221661404,5985.045536859963,-5955.105536859964
29.99,1660221663581,5875.020116603937,-5845.030116603937
30,1660221666758,5777.127096276201,-5747.127096276201
29.99,1660221669748,5714.221468743507,-5684.231468743507
29.99,1660221672833,5646.91591066349,-5616.92591066349
29.99,1660221675806,5590.721238043828,-5560.731238043828
29.98,1660221678916,5544.479023638039,-5514.499023638039
29.96,1660221681906,5516.253103533252,-5486.293103533252
29.95,1660221684875,5485.139862184595,-5455.189862184595
29.97,1660221688436,5448.22405556882,-5418.25405556882
29.95,1660221691086,5415.144974357734,-5385.194974357734
29.93,1660221697092,5418.920534832134,-5388.990534832134
29.94,1660221703086,5339.1324797184025,-5309.192479718403
29.93,1660221706152,5293.773845516598,-5263.843845516598
29.93,1660221709176,5277.439160714149,-5247.5091607141485
29.93,1660221712401,5259.50377167309,-5229.57377167309
29.93,1660221715419,5217.087814681173,-5187.157814681173
29.94,1660221718254,5172.207857386054,-5142.267857386054
29.92,1660221724392,5148.298642091041,-5118.378642091041
29.89,1660221730400,5125.654478850435,-5095.764478850435
29.9,1660221736503,5103.136432356341,-5073.2364323563415
29.88,1660221740551,5096.850427746494,-5066.970427746493
29.89,1660221742575,5091.964926718184,-5062.074926718184
29.89,1660221754896,5041.091937672336,-5011.201937672336
29.87,1660221760989,5027.060727649668,-4997.190727649668
29.9,1660221779495,4996.6018708181555,-4966.701870818156
29.88,1660221785675,4994.668528433292,-4964.7885284332915
29.88,1660221788641,4998.4983311312035,-4968.618331131203
29.85,1660221800967,5001.177494875236,-4971.327494875236
29.86,1660221804330,4990.880255246624,-4961.020255246624
29.84,1660221807797,4983.391713325525,-4953.551713325525
29.84,1660221814432,4962.883426096959,-4933.043426096959
29.83,1660221818160,4952.947813555924,-4923.117813555924
